,mse_training,mse_val,logp_training,logp_val
0,0.5689369197878524,0.3768084395145776,0.21904234418004967,0.06996708014027501
1,0.5675894305319399,0.37558717630228383,0.21380208529617412,0.055640392241978594
2,0.5660821400995233,0.37403889917215405,0.20982647082317277,0.047269246617370766
3,0.5644407272322247,0.3723268773206301,0.20568728874935904,0.0415143583788336
4,0.562614314389315,0.3704145468271135,0.20085985183786378,0.036650560275299754
5,0.5605188984052164,0.3682271521558256,0.19494243092610977,0.031726095615943174
6,0.5580673590327406,0.3656743307868019,0.18742794938683244,0.02614169333600806
7,0.5551497706158101,0.36267228636338616,0.17761853404897848,0.019371930257661367
8,0.551642756012165,0.3591407638008542,0.1644238753136972,0.010814084133393449
9,0.5474128622458422,0.3549836932585704,0.14612208991368486,-0.0006442542755461054
10,0.5423607222193135,0.35008060766654203,0.12029978068332481,-0.016995809969222495
11,0.5365318968160001,0.34402509310571866,0.0845517853126066,-0.042975620071640255
12,0.5302295379165325,0.3360727236157282,0.04139623566465336,-0.08608031622306796
13,0.5240799178528752,0.3269058980975742,-0.003446197345837273,-0.14721952147380582
14,0.5184083152152603,0.3182679992722667,-0.0505656899476295,-0.19381479391311726
15,0.5169844706925839,0.31161239326762624,-0.11565531063347734,-0.2081789645062902
16,0.5241362834169323,0.3123709332469995,-0.1664962500584346,-0.2568743795707087
17,0.5320327238165496,0.3181269288943501,-0.20910222102040316,-0.2899520509975833
18,0.5356353163373219,0.32209388252957294,-0.2299920924776696,-0.30002519905819874
19,0.5247177117679581,0.31552872480968897,-0.2940925466558126,-0.3374640027223892
20,0.5209159958429354,0.31448589921699766,-0.3232806383342652,-0.3507838636526512
21,0.5163899987811696,0.3132300238755145,-0.3451351341275323,-0.3615352567434984
22,0.512405956565526,0.31305916533285716,-0.3399081880727758,-0.3511787843531002
23,0.514978627764714,0.3183549353548353,-0.30081485057994356,-0.3269801163871209
24,0.5064540076757038,0.31208284871258457,-0.37793181480615623,-0.37962008502225775
25,0.5142271285602972,0.32007105358442917,-0.2920657909955349,-0.32424528457334506
26,0.5062613301434679,0.31603128341653963,-0.32549110606532256,-0.34220461123286855
27,0.49894088554185345,0.3103802510907152,-0.362705998514154,-0.3675774639808779
28,0.49666889820747795,0.30924298178703374,-0.3927251811113342,-0.3863220093448929
29,0.49579449528401415,0.3078993889350758,-0.3830045061042583,-0.3790984673347588
30,0.5075669792245703,0.31596085229841075,-0.29716087524999496,-0.3389531338704209
31,0.4964499207656971,0.3106798922159247,-0.34440866571658674,-0.35490126144412154
32,0.49180019595532776,0.30805904438475556,-0.3755150976752009,-0.37682795592167073
33,0.48803806346427303,0.3051021069965585,-0.40099052707560645,-0.38308824782777495
34,0.4840176044558791,0.30189760477283906,-0.4135961207905355,-0.3925835855175913
35,0.48589542790724116,0.3047969801156988,-0.38812428041052877,-0.37446737648530315
36,0.4803793391202099,0.3011030047340441,-0.4025669603101391,-0.3865350921656108
37,0.4808311913369786,0.30149903579840887,-0.38555675091536495,-0.38374970257347313
38,0.5048988096655789,0.30636467409705515,-0.20003231249748094,-0.31200150753516787
39,0.4883893893204415,0.30012085808332867,-0.40046175223950475,-0.4130578551705662
40,0.49828803551275985,0.30788139905393264,-0.31921121513448253,-0.3335606348653227
41,0.4854850492650115,0.30061646561297445,-0.3484115224916807,-0.36748811681797855
42,0.4796406483460749,0.29921613581481593,-0.3447698985070386,-0.35912202611627153
43,0.4786234084911479,0.30202952867206007,-0.3274828250646412,-0.34320153616174864
44,0.4725032041875524,0.29835136495050185,-0.4092362818091418,-0.4072825334068423
45,0.46803095497052577,0.2979337433855446,-0.4027439439126194,-0.4101144068328159
46,0.4719273173113851,0.30098260655828807,-0.4078839047375463,-0.4051405843982848
47,0.46341341977069855,0.29910733577883164,-0.32976325479166446,-0.35428640887760243
48,0.45965753431234496,0.2974208592758884,-0.36202360066728345,-0.36393383875010726
49,0.44202643124397967,0.2789455203592072,-0.5391484997050671,-0.5001528990188211
